number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lambda_mono,params_learning_rate,params_num_layers,params_weight_decay,user_attrs_optimal_epochs,state
97,0.12539470560848714,2026-02-28 14:04:31.106710,2026-02-28 14:06:12.185719,0 days 00:01:41.079009,GELU,128,0.6969953506606625,0.0024778581197021357,3,8.476152909867737e-05,59.0,COMPLETE
98,0.13168003857135774,2026-02-28 14:06:12.209150,2026-02-28 14:07:42.913647,0 days 00:01:30.704497,GELU,128,0.7008454909552656,0.0010075844377802356,3,7.686450549094321e-05,42.0,COMPLETE
99,0.13023724630475045,2026-02-28 14:07:42.936080,2026-02-28 14:09:01.888255,0 days 00:01:18.952175,GELU,128,0.7366368746739578,0.0032734322418145416,3,6.593876858951231e-05,37.0,COMPLETE
100,0.12783036202192305,2026-02-28 14:09:01.909755,2026-02-28 14:10:29.133862,0 days 00:01:27.224107,GELU,128,0.8450498587324204,0.002457283764608759,3,8.341535798276005e-05,42.0,COMPLETE
101,0.1289171688258648,2026-02-28 14:10:29.157801,2026-02-28 14:12:41.951683,0 days 00:02:12.793882,SiLU,128,0.9269089252861622,0.0035547797813945815,3,5.7949333695451734e-05,86.0,COMPLETE
102,0.1340496775507927,2026-02-28 14:12:41.972904,2026-02-28 14:16:23.112997,0 days 00:03:41.140093,GELU,128,0.4965838562350136,0.0031110455421041374,2,0.00039084971562627436,180.0,COMPLETE
103,0.12599387183785438,2026-02-28 14:16:23.135429,2026-02-28 14:17:58.346274,0 days 00:01:35.210845,GELU,128,0.6650595267679851,0.0026934281614913328,3,7.101824962297651e-05,50.0,COMPLETE
104,0.1270858781784773,2026-02-28 14:17:58.373901,2026-02-28 14:19:20.842278,0 days 00:01:22.468377,GELU,128,0.5712977385771876,0.00383557832066162,3,5.266359004875535e-05,36.0,COMPLETE
105,0.1274628126621246,2026-02-28 14:19:20.868734,2026-02-28 14:20:53.990926,0 days 00:01:33.122192,GELU,128,0.6309581034425834,0.0019156559872147575,3,6.200443827132931e-05,51.0,COMPLETE
106,0.1299929314851761,2026-02-28 14:20:54.022507,2026-02-28 14:22:17.484891,0 days 00:01:23.462384,GELU,48,0.5281288313452128,0.0028015531605877146,3,8.560974311237224e-05,40.0,COMPLETE
107,0.12689508393406868,2026-02-28 14:22:17.516179,2026-02-28 14:23:36.146097,0 days 00:01:18.629918,GELU,128,0.7482303080028654,0.002545604055253435,3,7.6358403878753e-05,34.0,COMPLETE
108,0.12885616309940814,2026-02-28 14:23:36.175288,2026-02-28 14:25:13.939208,0 days 00:01:37.763920,GELU,128,0.6058053699544009,0.0029065450935319005,3,6.722404818770363e-05,53.0,COMPLETE
109,0.12733851648867128,2026-02-28 14:25:13.968514,2026-02-28 14:26:44.713836,0 days 00:01:30.745322,GELU,128,0.7970628262956203,0.002424829376537569,3,0.00012149764247760822,47.0,COMPLETE
110,0.12601689033210278,2026-02-28 14:26:44.746780,2026-02-28 14:28:24.830293,0 days 00:01:40.083513,GELU,128,0.5538670485976007,0.002310132030662048,3,5.047151587050261e-05,54.0,COMPLETE
111,0.134047729074955,2026-02-28 14:28:24.858543,2026-02-28 14:31:34.788338,0 days 00:03:09.929795,GELU,96,0.4318256928855325,0.0022387960050407815,3,0.0012223125683640745,142.0,COMPLETE
112,0.12883513927459717,2026-02-28 14:31:34.821326,2026-02-28 14:33:23.981488,0 days 00:01:49.160162,GELU,128,0.6582957833059315,0.0020815070718966833,3,5.714905218199276e-05,61.0,COMPLETE
113,0.12781853482127187,2026-02-28 14:33:24.019337,2026-02-28 14:34:51.426476,0 days 00:01:27.407139,GELU,128,0.4549634571068384,0.002763096916765043,3,9.030887364530426e-05,39.0,COMPLETE
114,0.12737245962023738,2026-02-28 14:34:51.459837,2026-02-28 14:36:14.673084,0 days 00:01:23.213247,GELU,64,0.49622735500843423,0.0028670396932541226,3,0.00010323934210333913,40.0,COMPLETE
115,0.12663271456956862,2026-02-28 14:36:14.699081,2026-02-28 14:38:06.508020,0 days 00:01:51.808939,GELU,64,0.6956229871061075,0.002618594415239947,3,9.244659969215671e-05,62.0,COMPLETE
